Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,F9 v1.07B0003.18,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,F9 v1.07B0003.18,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Success,4 June 2010,18:45
1,F9 v1.07B0003.18,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0003.18,Success,4 June 2010,18:45
1,F9 v1.07B0003.18,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,F9 v1.07B0003.18,Dragon,0,LEO,NASA,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,18:45
1,F9 v1.07B0004.18,Dragon,525 kg,LEO,NASA,"Success
",F9 v1.07B0004.18,Success,4 June 2010,18:45
1,F9 v1.07B0005.18,SpaceX CRS-1,"4,700 kg",LEO,MDA,Success,F9 v1.07B0005.18,Success,4 June 2010,15:43
1,F9 v1.07B0006.18,SpaceX CRS-2,"4,877 kg",LEO,SES,Success,F9 v1.07B0006.18,Success,8 December 2010,07:44
2,F9 v1.07B0007.18,CASSIOPE,500 kg,Polar orbit,Thaicom,Success,F9 v1.07B0007.18,"Success
",22 May 2012,00:35
3,F9 v1.17B10038,SES-8,"3,170 kg",GTO,NASA,"Success
",F9 v1.17B10038,Success,8 October 2012,15:10
4,F9 v1.1,Thaicom 6,"3,325 kg",GTO,Orbcomm,Success,,Success,1 March 2013,16:00
5,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,Success,,Success,29 September 2013,22:41
6,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,,Success,3 December 2013,22:06
7,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,NASA,Success,,Success,6 January 2014,19:25
8,F9 v1.1,AsiaSat 6,"4,428 kg",GTO,NASA,Success,,"Success
",18 April 2014,15:15
9,F9 v1.1[,SpaceX CRS-4,"2,216 kg",LEO,USAF,"Success
",F9 v1.1[,"Success
",14 July 2014,08:00
10,F9 v1.1[,SpaceX CRS-5,"2,395 kg",LEO,ABS,"Success
",F9 v1.1[,"Success
",5 August 2014,05:00
11,F9 v1.1[,DSCOVR,570 kg,HEO,NASA,"Success
",F9 v1.1[,"Success
",7 September 2014,05:52
12,F9 v1.1[,ABS-3A,"4,159 kg",GTO,,"Success
",F9 v1.1[,Failure,21 September 2014,09:47
13,F9 v1.1[,SpaceX CRS-6,"1,898 kg",LEO,NASA,Failure,F9 v1.1[,"Success
",10 January 2015,23:03
14,F9 v1.1[,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Orbcomm,"Success
",F9 v1.1[,"Success
",11 February 2015,03:50
15,F9 v1.1[,SpaceX CRS-7,"1,952 kg",LEO,NASA,"Success
",F9 v1.1[,"Success
",2 March 2015,20:10
16,F9 v1.1[,Orbcomm-OG2,"2,034 kg",LEO,SES,"Success
",F9 v1.1[,Success,14 April 2015,23:03
17,F9 FT[,Jason-3,553 kg,LEO,NASA,Success,F9 FT[,"Success
",27 April 2015,14:21
18,F9 v1.1[,SES-9,"5,271 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1[,"Success
",28 June 2015,01:29
19,F9 FT[,SpaceX CRS-8,"3,136 kg",LEO,Thaicom,"Success
",F9 FT[,"Success
",22 December 2015,18:42
20,F9 FT[,JCSAT-14,"4,696 kg",GTO,ABS,"Success
",F9 FT[,"Success
",17 January 2016,23:35
21,F9 FT[,Thaicom 8,"3,100 kg",GTO,NASA,"Success
",F9 FT[,"Success
",4 March 2016,20:43
22,F9 FT[,ABS-2A,"3,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,"Success
",8 April 2016,05:21
23,F9 FT[,SpaceX CRS-9,"2,257 kg",LEO,Iridium Communications,"Success
",F9 FT[,"Success
",6 May 2016,21:39
24,F9 FT[,JCSAT-16,"4,600 kg",GTO,NASA,"Success
",F9 FT[,"Success
",27 May 2016,14:29
25,F9 FT[,Iridium NEXT,"9,600 kg",Polar,EchoStar,"Success
",F9 FT[,Success,15 June 2016,04:45
26,F9 FT[,SpaceX CRS-10,"2,490 kg",LEO,SES,Success,F9 FT[,"Success
",18 July 2016,05:26
27,F9 FT[,EchoStar 23,"5,600 kg",GTO,NRO,"Success
",F9 FT[,"Success
",14 August 2016,17:54
28,F9 FT[,SES-10,"5,300 kg",GTO,Inmarsat,"Success
",F9 FT[,"Success
",14 January 2017,14:39
29,F9 FT♺[,NROL-76,C,LEO,NASA,"Success
",F9 FT♺[,"Success
",19 February 2017,06:00
30,F9 FT[,Inmarsat-5 F4,"6,070 kg",GTO,Bulsatcom,"Success
",F9 FT[,"Success
",16 March 2017,22:27
31,F9 FT[,SpaceX CRS-11,"2,708 kg",LEO,Iridium Communications,"Success
",F9 FT[,"Success
",30 March 2017,11:15
32,F9 FT[,BulgariaSat-1,"3,669 kg",GTO,Intelsat,"Success
",F9 FT[,"Success
",1 May 2017,23:21
33,F9 FTB1029.2195,Iridium NEXT,"9,600 kg",LEO,NASA,"Success
",F9 FTB1029.2195,"Success
",15 May 2017,21:07
34,F9 FT[,Intelsat 35e,"6,761 kg",GTO,NSPO,"Success
",F9 FT[,"Success
",3 June 2017,19:10
35,F9 FT[,SpaceX CRS-12,"3,310 kg",LEO,USAF,"Success
",F9 FT[,"Success
",23 June 2017,20:25
36,F9 B4[,Formosat-5,475 kg,SSO,Iridium Communications,"Success
",F9 B4[,"Success
",25 June 2017,23:38
37,F9 FT[,Boeing X-37B,"4,990 kg",LEO,SES S.A.,"Success
",F9 FT[,"Success
",5 July 2017,16:31
38,F9 B4[,Iridium NEXT,"9,600 kg",Polar,KT Corporation,"Success
",F9 B4[,"Success
",14 August 2017,18:51
39,F9 B4[,SES-11,"5,200 kg",GTO,NASA,"Success
",F9 B4[,Success,24 August 2017,14:00
40,F9 FTB1031.2220,Koreasat 5A,"3,500 kg",GTO,Iridium Communications,Success,F9 FTB1031.2220,Success,7 September 2017,12:37
41,F9 B4[,SpaceX CRS-13,"2,205 kg",LEO,Northrop Grumman,Success,F9 B4[,Success,9 October 2017,22:53:00
42,F9 FTB1035.2227,Iridium NEXT,"9,600 kg",Polar,SES,Success,F9 FTB1035.2227,Success,11 October 2017,19:34
43,F9 FTB1036.2227,Zuma,C,LEO,Hisdesat,Success,F9 FTB1036.2227,Success,30 October 2017,15:36
44,F9 B4[,GovSat-1,"4,230 kg",GTO,Hispasat,Success,F9 B4[,Success,15 December 2017,01:27
45,F9 FTB1032.2245,Paz,"2,150 kg",SSO,Iridium Communications,Success,F9 FTB1032.2245,Success,23 December 2017,01:00
46,F9 FTB1038.2268,Hispasat 30W-6,"6,092 kg",GTO,NASA,Success,F9 FTB1038.2268,Success,8 January 2018,21:25
47,F9 B4[,Iridium NEXT,"9,600 kg",Polar,NASA,Success,F9 B4[,Success,31 January 2018,14:17
48,F9 B4B1041.2268,SpaceX CRS-14,"2,647 kg",LEO,Thales-Alenia,Success,F9 B4B1041.2268,Success,22 February 2018,05:33
49,F9 B4B1039.2292,Transiting Exoplanet Survey Satellite,362 kg,HEO,Iridium Communications,Success,F9 B4B1039.2292,Success,6 March 2018,14:14
50,F9 B4[,Bangabandhu-1,"3,600 kg",GTO,SES,Success,F9 B4[,Success,30 March 2018,20:30
51,F9 B5311B1046.1268,Iridium NEXT,"6,460 kg",Polar,NASA,Success,F9 B5311B1046.1268,Success,2 April 2018,22:51
52,F9 B4B1043.2322,SES-12,"5,384 kg",GTO,Telesat,Success,F9 B4B1043.2322,Success,18 April 2018,20:14
53,F9 B4B1040.2268,SpaceX CRS-15,"2,697 kg",LEO,Iridium Communications,Success,F9 B4B1040.2268,Success,11 May 2018,19:47
54,F9 B4B1045.2336,Telstar 19V,"7,075 kg",GTO,Telkom Indonesia,Success,F9 B4B1045.2336,Success,22 May 2018,04:45
55,F9 B5,Iridium NEXT,"9,600 kg",Polar,Telesat,Success,F9 B5,Success,4 June 2018,09:42
56,F9 B5349B1048[,Merah Putih,"5,800 kg",GTO,CONAE,Success,F9 B5349B1048[,Success,29 June 2018,05:50
57,F9 B5B1046.2354,Telstar 18V,"7,060 kg",GTO,Es'hailSat,Success,F9 B5B1046.2354,Success,22 July 2018,11:39
58,F9 B5[,SAOCOM 1A,"3,000 kg",SSO,Spaceflight Industries,Success,F9 B5[,"Success
",25 July 2018,05:18
59,F9 B5B1048.2364,Es'hail 2,"5,300 kg",GTO,NASA,"Success
",F9 B5B1048.2364,Success,7 August 2018,04:45
60,F9 B5B1047.2268,SSO-A,"~4,000 kg",SSO,USAF,Success,F9 B5B1047.2268,"Success
",10 September 2018,02:22
61,F9 B5B1046.3268,SpaceX CRS-16,"2,500 kg",LEO,Iridium Communications,"Success
",F9 B5B1046.3268,"Success
",8 October 2018,20:46
62,F9 B5[,GPS III,"4,400 kg",MEO,PSN,"Success
",F9 B5[,"Success
",15 November 2018,18:34:05
63,F9 B5[,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5[,"Success
",3 December 2018,18:16
64,F9 B5B1049.2397,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",F9 B5B1049.2397,"Success
",5 December 2018,13:51
65,F9 B5B1048.3399,Crew Dragon Demo-1,"12,055 kg",LEO,SpaceX,"Success
",F9 B5B1048.3399,"Success
",23 December 2018,15:31
66,F9 B5[]413,SpaceX CRS-17,"2,495 kg",LEO,Canadian Space Agency,"Success
",F9 B5[]413,"Success
",11 January 2019,01:45
67,F9 B5[,Starlink,"13,620 kg",LEO,NASA,"Success
",F9 B5[,"Success
",22 February 2019,07:49
68,F9 B5B1049.3434,RADARSAT Constellation,"4,200 kg",SSO,Spacecom,"Success
",F9 B5B1049.3434,"Success
",2 March 2019,06:48
69,F9 B5B1051.2420,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5B1051.2420,"Success
",4 May 2019,02:30
70,F9 B5B1056.2465,AMOS-17,"6,500 kg",GTO,NASA,"Success
",F9 B5B1056.2465,"Success
",24 May 2019,14:17
71,F9 B5B1047.3472,Starlink,"15,600 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5B1047.3472,"Success
",12 June 2019,22:01
72,F9 B5,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",25 July 2019,23:23
73,F9 B5[,JCSat-18,"6,956 kg",GTO,NASA,"Success
",F9 B5[,"Success
",6 August 2019,14:56
74,F9 B5B1056.3482,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3482,"Success
",11 November 2019,17:29
75,F9 B5,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,"Success
",5 December 2019,00:10
76,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",17 December 2019,02:19:21
77,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 January 2020,15:30
78,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",19 January 2020,14:07
79,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",29 January 2020,15:05
80,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",17 February 2020,04:50
81,F9 B5,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 March 2020,12:16
82,F9 B5[,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5[,"Success
",18 March 2020,19:30
83,F9 B5,Starlink,"15,410 kg",LEO,Republic of Korea Army,"Success
",F9 B5,"Success
",22 April 2020,19:22
84,F9 B5,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,"Success
",30 May 2020,01:25
85,F9 B5,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5,"Success
",4 June 2020,09:21
86,F9 B5B1058.2544,Starlink,"14,932 kg",LEO,CONAE,"Success
",F9 B5B1058.2544,"Success
",13 June 2020,20:10:46
87,F9 B5,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",30 June 2020,21:30
88,F9 B5B1049.6544,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5B1049.6544,"Success
",20 July 2020,05:12
89,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 August 2020,14:31
90,F9 B5B1060.2563,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,"Success
",18 August 2020,23:18
91,F9 B5B1058.3565,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5B1058.3565,"Success
",30 August 2020,12:46:14
92,F9 B5B1051.6568,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1051.6568,"Success
",3 September 2020,11:29:34
93,F9 B5,GPS III,"4,311 kg",MEO,NASA,"Success
",F9 B5,"Success
",6 October 2020,12:25:57
94,F9 B5,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",18 October 2020,15:31:34
95,F9 B5[,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5[,"Success
",24 October 2020,23:24:23
96,F9 B5,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5,"Success
",5 November 2020,00:27
97,F9 B5 ♺[,SpaceX CRS-21,"2,972 kg",LEO,NRO,"Success
",F9 B5 ♺[,"Success
",16 November 2020,17:17:08
98,F9 B5 ♺[,SXM-7,"7,000 kg",GTO,Türksat,"Success
",F9 B5 ♺[,"Success
",21 November 2020,02:13
99,F9 B5 ♺,NROL-108,C,LEO,SpaceX,"Success
",F9 B5 ♺,"Success
",25 November 2020,16:17:08
100,F9 B5 ♺,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5 ♺,Success,6 December 2020,17:30:00
101,F9 B5,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5,Success,13 December 2020,14:00:00
102,F9 B5B1051.8609,Transporter-1,"~5,000 kg",SSO,NASA,Success,F9 B5B1051.8609,"Success
",19 December 2020,02:15
103,F9 B5B1058.5613,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 B5B1058.5613,"Success
",8 January 2021,13:02
104,CCAFS,Dragon,0,LEO,NASA,"Success
",F9 v1.07B0003.18,Success,20 January 2021,15:00
105,CCAFS,Dragon,525 kg,LEO,MDA,Success,F9 v1.07B0004.18,Success,24 January 2021,18:45
106,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,SES,Success,F9 v1.07B0005.18,Success,4 June 2010,15:43
1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,Thaicom,Success,F9 v1.07B0006.18,"Success
",8 December 2010,07:44
2,CCAFS,CASSIOPE,500 kg,Polar orbit,NASA,"Success
",F9 v1.07B0007.18,Success,22 May 2012,00:35
3,VAFB,SES-8,"3,170 kg",GTO,Orbcomm,Success,F9 v1.17B10038,Success,8 October 2012,15:10
4,CCAFS,Thaicom 6,"3,325 kg",GTO,AsiaSat,Success,,Success,1 March 2013,16:00
5,CCAFS,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,Success,,Success,29 September 2013,22:41
6,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,NASA,Success,,Success,3 December 2013,22:06
7,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,Success,,"Success
",6 January 2014,19:25
8,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,USAF,"Success
",,"Success
",18 April 2014,15:15
9,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,ABS,"Success
",F9 v1.1[,"Success
",14 July 2014,08:00
10,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,"Success
",F9 v1.1[,"Success
",5 August 2014,05:00
11,Cape Canaveral,DSCOVR,570 kg,HEO,,"Success
",F9 v1.1[,Failure,7 September 2014,05:52
12,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,Failure,F9 v1.1[,"Success
",21 September 2014,09:47
13,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,Orbcomm,"Success
",F9 v1.1[,"Success
",10 January 2015,23:03
14,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,"Success
",F9 v1.1[,"Success
",11 February 2015,03:50
15,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,SES,"Success
",F9 v1.1[,Success,2 March 2015,20:10
16,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,Success,F9 v1.1[,"Success
",14 April 2015,23:03
17,Cape Canaveral,Jason-3,553 kg,LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,"Success
",27 April 2015,14:21
18,VAFB,SES-9,"5,271 kg",GTO,Thaicom,"Success
",F9 v1.1[,"Success
",28 June 2015,01:29
19,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,ABS,"Success
",F9 FT[,"Success
",22 December 2015,18:42
20,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,NASA,"Success
",F9 FT[,"Success
",17 January 2016,23:35
21,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,"Success
",4 March 2016,20:43
22,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Iridium Communications,"Success
",F9 FT[,"Success
",8 April 2016,05:21
23,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT[,"Success
",6 May 2016,21:39
24,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,EchoStar,"Success
",F9 FT[,Success,27 May 2016,14:29
25,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,SES,Success,F9 FT[,"Success
",15 June 2016,04:45
26,VAFB,SpaceX CRS-10,"2,490 kg",LEO,NRO,"Success
",F9 FT[,"Success
",18 July 2016,05:26
27,KSC,EchoStar 23,"5,600 kg",GTO,Inmarsat,"Success
",F9 FT[,"Success
",14 August 2016,17:54
28,KSC,SES-10,"5,300 kg",GTO,NASA,"Success
",F9 FT[,"Success
",14 January 2017,14:39
29,KSC,NROL-76,C,LEO,Bulsatcom,"Success
",F9 FT♺[,"Success
",19 February 2017,06:00
