Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
71,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1047.3472,Success,12 June 2019,22:01
72,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,Success,F9 B5,Success,25 July 2019,23:23
73,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,Success,F9 B5[,Success,6 August 2019,14:56
74,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1056.3482,Success,11 November 2019,17:29
75,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,Success,F9 B5,Success,5 December 2019,00:10
76,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,17 December 2019,02:19:21
77,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5,Success,7 January 2020,15:30
78,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,Success,F9 B5,Success,19 January 2020,14:07
79,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,29 January 2020,15:05
80,KSC,Starlink,"15,600 kg",LEO,U.S. Space Force,Success,F9 B5,Success,17 February 2020,04:50
81,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,Republic of Korea Army,Success,F9 B5,Success,7 March 2020,12:16
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5[,Success,18 March 2020,19:30
83,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,Success,F9 B5,Success,22 April 2020,19:22
84,CCAFS,GPS III,"4,311 kg",MEO,CONAE,Success,F9 B5,Success,30 May 2020,01:25
85,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,Success,F9 B5,Success,4 June 2020,09:21
86,CCAFS,Starlink,"14,932 kg",LEO,SpaceX,Success,F9 B5B1058.2544,Success,13 June 2020,20:10:46
87,KSC,Starlink,"~15,440 kg",LEO,SpaceX,Success,F9 B5,Success,30 June 2020,21:30
88,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,Success,F9 B5B1049.6544,Success,20 July 2020,05:12
89,CCAFS,Starlink,"15,600 kg",LEO,USSF,Success,F9 B5,Success,7 August 2020,14:31
90,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1060.2563,Success,18 August 2020,23:18
91,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1058.3565,Success,30 August 2020,12:46:14
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1051.6568,Success,3 September 2020,11:29:34
93,CCAFS,GPS III,"4,311 kg",MEO,NASA,Success,F9 B5,Success,6 October 2020,12:25:57
94,CCAFS,Crew-1,"~12,500 kg",LEO,Sirius XM,Success,F9 B5,Success,18 October 2020,15:31:34
95,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NRO,Success,F9 B5[,Success,24 October 2020,23:24:23
96,VAFB,Starlink,"15,600 kg",LEO,Türksat,Success,F9 B5,Success,5 November 2020,00:27
97,CCAFS,SpaceX CRS-21,"2,972 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,16 November 2020,17:17:08
98,KSC,SXM-7,"7,000 kg",GTO,SpaceX,Success,F9 B5 ♺[,Success[9],21 November 2020,02:13
99,CCSFS,NROL-108,C,LEO,NASA,Success[9],F9 B5 ♺,Success[20],25 November 2020,16:17:08
100,KSC,Türksat 5A,"3,500 kg",GTO,NASA,Success[20],F9 B5 ♺,Success,6 December 2020,17:30:00
101,CCSFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5,Success,13 December 2020,14:00:00
102,KSC,Transporter-1,"~5,000 kg",SSO,NASA,Success,F9 B5B1051.8609,Success[30],19 December 2020,02:15
103,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,MDA,Success[30],F9 B5B1058.5613,Success[37],8 January 2021,13:02
104,CCAFS,Dragon,0,LEO,SES,Success[37],F9 v1.07B0003.18,Success[42],20 January 2021,15:00
105,CCAFS,Dragon,525 kg,LEO,Thaicom,Success[42],F9 v1.07B0004.18,Success,24 January 2021,18:45
106,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.07B0005.18,Success[51],4 June 2010,15:43
1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,Orbcomm,Success[51],F9 v1.07B0006.18,Success[56],8 December 2010,07:44
2,CCAFS,CASSIOPE,500 kg,Polar orbit,AsiaSat,Success[56],F9 v1.07B0007.18,Success[59],22 May 2012,00:35
3,VAFB,SES-8,"3,170 kg",GTO,AsiaSat,Success[59],F9 v1.17B10038,Success[63],8 October 2012,15:10
4,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,Success[63],,Success[70],1 March 2013,16:00
5,CCAFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,Success[70],,Success,29 September 2013,22:41
6,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,USAF,Success,,Success,3 December 2013,22:06
7,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,ABS,Success,,Success,6 January 2014,19:25
8,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,,Success,18 April 2014,15:15
9,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,Success,F9 v1.1[,Failure[93](in flight),14 July 2014,08:00
10,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Failure[93](in flight),F9 v1.1[,Success,5 August 2014,05:00
11,Cape Canaveral,DSCOVR,570 kg,HEO,Orbcomm,Success,F9 v1.1[,Success,7 September 2014,05:52
12,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,Success,F9 v1.1[,Success,21 September 2014,09:47
13,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,SES,Success,F9 v1.1[,Success[117],10 January 2015,23:03
14,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Success[117],F9 v1.1[,Success,11 February 2015,03:50
15,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,SKY Perfect JSAT Group,Success,F9 v1.1[,Success,2 March 2015,20:10
16,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Thaicom,Success,F9 v1.1[,Success,14 April 2015,23:03
17,Cape Canaveral,Jason-3,553 kg,LEO,ABS,Success,F9 FT[,Success,27 April 2015,14:21
18,VAFB,SES-9,"5,271 kg",GTO,NASA,Success,F9 v1.1[,Success,28 June 2015,01:29
19,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,Success,F9 FT[,Success,22 December 2015,18:42
20,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Iridium Communications,Success,F9 FT[,Success,17 January 2016,23:35
21,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,NASA,Success,F9 FT[,Success,4 March 2016,20:43
22,Cape Canaveral,ABS-2A,"3,600 kg",GTO,EchoStar,Success,F9 FT[,Success[170],8 April 2016,05:21
23,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SES,Success[170],F9 FT[,Success,6 May 2016,21:39
24,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,NRO,Success,F9 FT[,Success,27 May 2016,14:29
25,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,Inmarsat,Success,F9 FT[,Success,15 June 2016,04:45
26,VAFB,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,F9 FT[,Success,18 July 2016,05:26
27,KSC,EchoStar 23,"5,600 kg",GTO,Bulsatcom,Success,F9 FT[,Success,14 August 2016,17:54
28,KSC,SES-10,"5,300 kg",GTO,Iridium Communications,Success,F9 FT[,Success,14 January 2017,14:39
29,KSC,NROL-76,C,LEO,Intelsat,Success,F9 FT♺[,Success,19 February 2017,06:00
30,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,Success,F9 FT[,Success,16 March 2017,22:27
31,KSC,SpaceX CRS-11,"2,708 kg",LEO,NSPO,Success,F9 FT[,Success,30 March 2017,11:15
32,KSC,BulgariaSat-1,"3,669 kg",GTO,USAF,Success,F9 FT[,Success,1 May 2017,23:21
33,KSC,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,F9 FTB1029.2195,Success,15 May 2017,21:07
34,VAFB,Intelsat 35e,"6,761 kg",GTO,SES S.A.,Success,F9 FT[,Success,3 June 2017,19:10
35,KSC,SpaceX CRS-12,"3,310 kg",LEO,KT Corporation,Success,F9 FT[,Success,23 June 2017,20:25
36,KSC,Formosat-5,475 kg,SSO,NASA,Success,F9 B4[,Success[230],25 June 2017,23:38
37,VAFB,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,Success[230],F9 FT[,Success[241],5 July 2017,16:31
38,KSC,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success[241],F9 B4[,Success[248],14 August 2017,18:51
39,VAFB,SES-11,"5,200 kg",GTO,SES,Success[248],F9 B4[,Success[271],24 August 2017,14:00
40,KSC,Koreasat 5A,"3,500 kg",GTO,Hisdesat,Success[271],F9 FTB1031.2220,Success[280],7 September 2017,12:37
41,KSC,SpaceX CRS-13,"2,205 kg",LEO,Hispasat,Success[280],F9 B4[,Success[286],9 October 2017,22:53:00
42,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success[286],F9 FTB1035.2227,Success[293],11 October 2017,19:34
43,VAFB,Zuma,C,LEO,NASA,Success[293],F9 FTB1036.2227,Success[306],30 October 2017,15:36
44,CCAFS,GovSat-1,"4,230 kg",GTO,NASA,Success[306],F9 B4[,Success[315],15 December 2017,01:27
45,CCAFS,Paz,"2,150 kg",SSO,Thales-Alenia,Success[315],F9 FTB1032.2245,Success[327],23 December 2017,01:00
46,VAFB,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success[327],F9 FTB1038.2268,Success[333],8 January 2018,21:25
47,CCAFS,Iridium NEXT,"9,600 kg",Polar,SES,Success[333],F9 B4[,Success[338],31 January 2018,14:17
48,VAFB,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success[338],F9 B4B1041.2268,Success[344],22 February 2018,05:33
49,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Telesat,Success[344],F9 B4B1039.2292,Success[351],6 March 2018,14:14
50,CCAFS,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success[351],F9 B4[,Success[358],30 March 2018,20:30
51,KSC,Iridium NEXT,"6,460 kg",Polar,Telkom Indonesia,Success[358],F9 B5311B1046.1268,Success[361],2 April 2018,22:51
52,VAFB,SES-12,"5,384 kg",GTO,Telesat,Success[361],F9 B4B1043.2322,Success[363],18 April 2018,20:14
53,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,CONAE,Success[363],F9 B4B1040.2268,Success[370],11 May 2018,19:47
54,CCAFS,Telstar 19V,"7,075 kg",GTO,Es'hailSat,Success[370],F9 B4B1045.2336,Success[373],22 May 2018,04:45
55,CCAFS,Iridium NEXT,"9,600 kg",Polar,Spaceflight Industries,Success[373],F9 B5,Success,4 June 2018,09:42
56,VAFB,Merah Putih,"5,800 kg",GTO,NASA,Success,F9 B5349B1048[,Success[386],29 June 2018,05:50
57,CCAFS,Telstar 18V,"7,060 kg",GTO,USAF,Success[386],F9 B5B1046.2354,Success,22 July 2018,11:39
58,CCAFS,SAOCOM 1A,"3,000 kg",SSO,Iridium Communications,Success,F9 B5[,Success,25 July 2018,05:18
59,VAFB,Es'hail 2,"5,300 kg",GTO,PSN,Success,F9 B5B1048.2364,Success,7 August 2018,04:45
60,KSC,SSO-A,"~4,000 kg",SSO,NASA,Success,F9 B5B1047.2268,Success,10 September 2018,02:22
61,VAFB,SpaceX CRS-16,"2,500 kg",LEO,NASA,Success,F9 B5B1046.3268,Success,8 October 2018,20:46
62,CCAFS,GPS III,"4,400 kg",MEO,SpaceX,Success,F9 B5[,Success,15 November 2018,18:34:05
63,CCAFS,Iridium NEXT,"9,600 kg",Polar,Canadian Space Agency,Success,F9 B5[,Success,3 December 2018,18:16
64,VAFB,Nusantara Satu,"4,850 kg",GTO,NASA,Success,F9 B5B1049.2397,Success,5 December 2018,13:51
65,CCAFS,Crew Dragon Demo-1,"12,055 kg",LEO,Spacecom,Success,F9 B5B1048.3399,Success,23 December 2018,15:31
66,KSC,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,Success,F9 B5[]413,Success,11 January 2019,01:45
67,CCAFS,Starlink,"13,620 kg",LEO,NASA,Success,F9 B5[,Success,22 February 2019,07:49
68,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,Sky Perfect JSAT,Success,F9 B5B1049.3434,Success,2 March 2019,06:48
69,VAFB,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,Success,F9 B5B1051.2420,Success,4 May 2019,02:30
70,CCAFS,AMOS-17,"6,500 kg",GTO,NASA,Success,F9 B5B1056.2465,Success,24 May 2019,14:17
71,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1047.3472,Success,12 June 2019,22:01
72,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,Success,F9 B5,Success,25 July 2019,23:23
73,CCAFS,JCSat-18,"6,956 kg",GTO,NASA,Success,F9 B5[,Success,6 August 2019,14:56
74,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1056.3482,Success,11 November 2019,17:29
75,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,Success,F9 B5,Success,5 December 2019,00:10
76,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5,Success,17 December 2019,02:19:21
77,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,7 January 2020,15:30
78,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,Success,F9 B5,Success,19 January 2020,14:07
79,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,Success,F9 B5,Success,29 January 2020,15:05
80,KSC,Starlink,"15,600 kg",LEO,Republic of Korea Army,Success,F9 B5,Success,17 February 2020,04:50
81,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,Success,F9 B5,Success,7 March 2020,12:16
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5[,Success,18 March 2020,19:30
83,CCAFS,Starlink,"15,410 kg",LEO,CONAE,Success,F9 B5,Success,22 April 2020,19:22
84,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,Success,F9 B5,Success,30 May 2020,01:25
85,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,Success,F9 B5,Success,4 June 2020,09:21
86,CCAFS,Starlink,"14,932 kg",LEO,SpaceX,Success,F9 B5B1058.2544,Success,13 June 2020,20:10:46
87,KSC,Starlink,"~15,440 kg",LEO,SpaceX,Success,F9 B5,Success,30 June 2020,21:30
88,CCAFS,SAOCOM 1B,"3,130 kg",SSO,USSF,Success,F9 B5B1049.6544,Success,20 July 2020,05:12
89,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5,Success,7 August 2020,14:31
90,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1060.2563,Success,18 August 2020,23:18
91,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1058.3565,Success,30 August 2020,12:46:14
92,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1051.6568,Success,3 September 2020,11:29:34
93,CCAFS,GPS III,"4,311 kg",MEO,Sirius XM,Success,F9 B5,Success,6 October 2020,12:25:57
94,CCAFS,Crew-1,"~12,500 kg",LEO,NRO,Success,F9 B5,Success,18 October 2020,15:31:34
95,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,Türksat,Success,F9 B5[,Success,24 October 2020,23:24:23
96,VAFB,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,5 November 2020,00:27
97,CCAFS,SpaceX CRS-21,"2,972 kg",LEO,Various,Success,F9 B5 ♺[,Success,16 November 2020,17:17:08
98,KSC,SXM-7,"7,000 kg",GTO,SpaceX,Success,F9 B5 ♺[,Success,21 November 2020,02:13
99,CCSFS,NROL-108,C,LEO,SpaceX,Success,F9 B5 ♺,Success,25 November 2020,16:17:08
100,KSC,Türksat 5A,"3,500 kg",GTO,SpaceX,Success,F9 B5 ♺,Success,6 December 2020,17:30:00
101,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,13 December 2020,14:00:00
102,KSC,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5B1051.8609,Success,19 December 2020,02:15
103,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1058.5613,Success,8 January 2021,13:02
104,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,20 January 2021,15:00
105,CCSFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5 ♺,Success,24 January 2021,06:19
106,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,4 February 2021,03:59:37
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,16 February 2021,08:24
108,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,Success,4 March 2021,08:13:29
109,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1060.6643,Success,11 March 2021,10:01
110,CCSFS,Crew-2,"~13,000 kg",LEO,SpaceX,Success,F9 B5 ♺,Success,14 March 2021,08:28
111,KSC,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1061.2647,Success,24 March 2021,16:34
112,CCSFS,Starlink,"15,600 kg",LEO,Sirius XM,Success,F9 B5B1060.7652,,7 April 2021,9:49
113,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1049.9655,,23 April 2021,03:44
114,CCSFS,Starlink,"~14,000 kg",LEO,,,F9 B5B1051.10657,,29 April 2021,19:01
115,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1058.8660,,4 May 2021,06:42
116,CCSFS,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1063.2665,,9 May 2021,22:56
117,KSC,SXM-8,"7,000 kg",GTO,,,F9 B5B1067.1668,,15 May 2021,18:59
118,CCSFS,,,,,,F9 B5,,26 May 2021,17:29
119,,,,,,,,,3 June 2021,04:26
120,,,,,,,,,6 June 2021,
121,,,,,,,,,,
